game,score, train_time, len_buff
1,420,4.254,1893
2,630,6.8258,4534
3,546,83.9917,6499
4,630,159.1941,9488
5,630,244.2614,12935
6,651,177.6912,15604
7,609,200.3173,18184
8,630,192.3614,20793
9,651,170.685,23289
10,357,89.8791,24617
11,630,275.7868,27988
12,462,212.615,30300
13,294,141.1893,31786
14,546,236.544,34138
15,399,160.5043,35814
16,420,227.3435,38080
17,630,338.5265,41209
18,420,185.3593,42856
19,651,393.2815,46210
20,630,406.2377,49541
21,651,342.1465,52239
22,630,331.6783,54908
23,651,390.8773,57259
24,651,552.2009,60525
25,693,26283.303,64120
26,630,6768.9671,66374
27,630,600.3889,69635
28,651,612.2559,72925
29,672,672.6469,76410
30,630,445.1006,78864
31,399,292.2069,80569
32,462,464.3262,83106
33,609,40682.1187,86178
34,630,3.1775,2339
35,672,3.9216,5251
36,315,27.9908,6116
37,462,77.0537,8401
38,399,61.164,10070
39,525,116.1376,12555
40,693,136.1666,15017
41,525,164.1102,17703
42,714,217.9359,20861
43,630,235.7029,24135
44,315,114.0311,25757
45,546,288.4006,29198
46,378,243.8783,31735
47,420,273.1902,34323
48,630,306.1953,37212
49,420,159.8224,38798
50,294,131.7753,40083
51,441,198.1801,42006
52,630,296.4222,44648
53,63,62.1555,45201
54,399,210.1139,47074
55,441,163.0774,48458
56,567,315.7621,51097
57,483,266.5264,53222
58,336,148.1567,54454
59,651,436.2047,57365
60,315,208.3796,58647
61,420,538.84,60910
62,420,556.126,62578
63,546,625.6562,64783
64,315,252.9815,66159
65,651,413.3774,68510
66,672,526.2327,71275
67,630,1659.2785,75220
68,630,603.6493,77961
69,672,708.9245,81064
70,462,367.4156,83026
71,651,512.0289,85600
72,252,251.2747,86933
73,399,359.8564,88724